,acc_phone_x,acc_phone_y,acc_phone_z,prox_phone_distance,gyr_phone_x,gyr_phone_y,gyr_phone_z,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,labelonLaptop,labelonTable
2020-06-05 12:21:54.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:54.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:54.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:54.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:01.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:01.253622912,,,,,,,,,,,,,0,0
